C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,AT (K),Ms (K)
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1613,714.32
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1603,714.33
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1593,714.34
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1583,714.35
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1573,714.35
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1563,714.36
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1553,714.37
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1543,714.37
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1533,714.38
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1523,714.38
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1513,714.39
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1503,714.39
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1493,714.4
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1483,714.4
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1473,714.4
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1463,714.41
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1453,714.41
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1443,714.41
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1433,714.41
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1423,714.41
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1413,714.42
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1403,714.42
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1393,714.42
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1383,714.42
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1373,714.42
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1363,714.56
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1353,714.71
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1343,714.85
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1333,714.99
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1323,715.11
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1313,715.3
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1303,715.47
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1293,715.62
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1283,715.76
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1273,715.89
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1263,716.01
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1253,716.11
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1243,716.21
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1233,716.29
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1223,716.37
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1213,716.44
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1203,716.51
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1193,716.57
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1183,716.62
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1173,716.67
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1163,716.72
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1153,716.76
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1143,716.81
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1133,716.85
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1123,716.89
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1113,716.94
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1103,710.23
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1093,699.98
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1083,688.03
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1073,674.67
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1063,660.01
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1053,644.08
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1043,626.85
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1033,608.25
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1023,588.09
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1013,566.2
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1003,542.01
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,993,515.32
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,983,486.05
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,973,454.11
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,963,419.41
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,953,381.83
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,943,341.22
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,933,297.42
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,923,252.21
0.04,0.1,2.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1743,674.27
0.04,0.1,2.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1733,683.33
0.04,0.1,2.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1723,692.22
0.04,0.1,2.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1713,693.55
0.04,0.1,2.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1703,693.57
0.04,0.1,2.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1693,693.59
0.04,0.1,2.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1683,693.61
0.04,0.1,2.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1673,693.63
