C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,TAUST (K),Ms (K)
0.06,0.25,1.21,0,0,0.25,0.08,0,0,0.036,0,0.044,0.003,0,0.01,0.01,1323,712
0.07,0.26,1.49,0,0,0.25,0.08,0,0,0.036,0,0.042,0.003,0,0.01,0.01,1323,703
0.07,0.26,1.49,0,0,0.25,0.08,0,0,0.036,0,0.042,0.003,0,0.01,0.01,1203,724
0.09,0.28,1.03,0.01,0.01,0.31,0.1,0,0,0.021,0,0.09,0,0,0.01,0.01,1233,746
0.14,0.23,1.44,0.23,0.065,0.035,0.1,0.48,0,0.028,0,0.03,0.013,0,0.01,0.01,1593,718
0.1,0.37,1.5,0,0,0,0.022,0,0,0.044,0.023,0.023,0,0,0.01,0.01,1623,754
0.04,0.3,1.19,0.02,0.02,0.33,0.09,0,0,0.057,0,0.01,0,0,0.01,0.01,1233,773
0.04,0.11,1.9,0,0,0.34,0.09,0,0,0.02,0,0,0.009,0,0.01,0.01,1198,743
0.06,0.32,1.96,0,0,0.18,0.22,0,0,0.02,0,0,0.005,0,0.01,0.01,1373,721
0.06,0,1.7,0,0,0.5,0.1,0,0,0,0,0,0.02,0,0.01,0.01,1213,710
0.07,0.49,1.57,0.01,0.01,0.27,0.05,0.01,0,0.066,0,0,0,0,0.01,0.01,1193,789
0.12,0.3,0.83,1.11,0.53,0.49,0.03,0.3,0,0.031,0,0,0,0,0.01,0.01,1223,700
0.15,0.4,1.39,0,0,0.27,0.05,0,0,0.018,0,0,0.004,0,0.01,0.01,1203,710
0.17,0.44,1.54,0.02,0.01,0.47,0.14,0.01,0,0.01,0,0.002,0.006,0,0.01,0.01,1203,729
0.17,0.44,1.54,0.02,0.01,0.47,0.14,0.01,0,0.01,0,0.002,0.006,0,0.01,0.01,1623,718
0.07,0,2.79,0,0,0,0.18,0,0,0.046,0,0,0.005,0,0.01,0.01,1273,707
