Fe,Co,Ni,Al,Si,Cr,Nb,Mo,Ti,Cu,Mn,Zr,V,C,T,"phase (SS=0, SS+IM=1)"
0,0,0,0,0,0,19,19,19,0,0,19,24,0,25,0
0,0,0,0,0,0,18.2,18.2,18.2,0,0,18.2,27.2,0,25,0
0,0,0,0,0,0,16.7,16.7,16.7,0,0,16.7,33.2,0,25,0
0,0,0,0,0,0,14.3,14.3,14.3,0,0,14.3,42.8,0,25,0
20,20,20,20,0,20,0,0,0,0,0,0,0,0,25,0
19.6,19.6,19.6,19.6,0,19.6,2,0,0,0,0,0,0,0,25,0
19,19,19,19,0,19,5,0,0,0,0,0,0,0,25,1
18.2,18.2,18.2,18.2,0,18.2,9,0,0,0,0,0,0,0,25,1
17.4,17.4,17.4,17.4,0,17.4,13,0,0,0,0,0,0,0,25,1
25.26,24.22,25.54,0,0,0,0,0,0,0,0,0,24.98,0,25,0
24.79,23.22,22.69,0,0,0,0,5.18,0,0,0,0,24.12,0,25,1
23.88,22.6,24.63,0,0,0,0,7.25,0,0,0,0,21.64,0,25,1
21.24,19.64,17.49,0,0,0,0,17.33,0,0,0,0,24.31,0,25,1
19.62,19.72,15.98,0,0,0,0,23.33,0,0,0,0,21.37,0,25,1
20.41,18.84,15.08,0,0,0,0,23.37,0,0,0,0,22.3,0,25,1
19.65,19.37,17.59,0,0,0,0,23.26,0,0,0,0,20.13,0,25,1
17.02,17.91,16.64,0,0,0,0,27.88,0,0,0,0,20.55,0,25,1
18.56,16.91,34.59,0,0,0,0,12.83,0,0,0,0,17.12,0,25,1
18.91,18.08,33.32,0,0,0,0,12.54,0,0,0,0,17.15,0,25,1
17.88,17.69,35.34,0,0,0,0,13.14,0,0,0,0,15.96,0,25,1
11.22,18.6,15.71,0,0,5.6,0,0,23.38,5.77,9.95,0,9.78,0,25,1
12.78,12.38,9.67,14.48,0,17.32,0,0,9.81,3.46,2.82,0,17.28,0,25,0
10.3,11.53,9.77,23.61,0,10.94,0,0,10.58,4.47,6.9,0,11.9,0,25,0
6.87,2.59,2.5,37.97,0,19.96,0,0,3.82,3.08,3.51,0,19.7,0,25,1
14.3,14.3,14.3,28.5,0,14.3,0,0,0,14.3,0,0,0,0,1000,0
14.3,14.3,14.3,28.5,0,14.3,0,0,0,14.3,0,0,0,0,25,0
14.3,14.3,14.3,28.5,0,14.3,0,0,0,14.3,0,0,0,0,600,0
14.3,14.3,14.3,28.5,0,14.3,0,0,0,14.3,0,0,0,0,700,0
14.3,14.3,14.3,28.5,0,14.3,0,0,0,14.3,0,0,0,0,800,0
14.3,14.3,14.3,28.5,0,14.3,0,0,0,14.3,0,0,0,0,900,0
14.3,14.3,14.3,28.5,0,14.3,0,0,0,14.3,0,0,0,0,1100,0
14.3,14.3,14.3,28.5,0,14.3,0,0,0,14.3,0,0,0,0,500,0
16.7,16.7,16.7,16.5,0,16.7,0,0,0,16.7,0,0,0,0,1000,0
16.7,16.7,16.7,16.5,0,16.7,0,0,0,16.7,0,0,0,0,25,0
16.7,16.7,16.7,16.5,0,16.7,0,0,0,16.7,0,0,0,0,600,0
16.7,16.7,16.7,16.5,0,16.7,0,0,0,16.7,0,0,0,0,700,0
16.7,16.7,16.7,16.5,0,16.7,0,0,0,16.7,0,0,0,0,800,0
16.7,16.7,16.7,16.5,0,16.7,0,0,0,16.7,0,0,0,0,900,0
18.2,18.2,18.2,9,0,18.2,0,0,0,18.2,0,0,0,0,1000,0
18.2,18.2,18.2,9,0,18.2,0,0,0,18.2,0,0,0,0,25,0
18.2,18.2,18.2,9,0,18.2,0,0,0,18.2,0,0,0,0,300,0
18.2,18.2,18.2,9,0,18.2,0,0,0,18.2,0,0,0,0,500,0
18.2,18.2,18.2,9,0,18.2,0,0,0,18.2,0,0,0,0,700,0
18.2,18.2,18.2,9,0,18.2,0,0,0,18.2,0,0,0,0,900,0
18.2,18.2,18.2,9,0,18.2,0,0,0,18.2,0,0,0,0,1100,0
0,0,0,20.2,0,20.3,19.8,19,20.7,0,0,0,0,0,25,0
0,0,0,20.2,0,20.3,19.8,19,20.7,0,0,0,0,0,400,0
0,0,0,20.2,0,20.3,19.8,19,20.7,0,0,0,0,0,600,0
0,0,0,20.2,0,20.3,19.8,19,20.7,0,0,0,0,0,800,0
0,0,0,20.2,0,20.3,19.8,19,20.7,0,0,0,0,0,1000,0
0,0,0,20.2,0,20.3,19.8,19,20.7,0,0,0,0,0,1200,0
